# BUSCO version is: 5.4.3 
# The lineage dataset is: metazoa_odb10 (Creation date: 2021-02-17, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
603370at33208	Complete	OX336376.1	19046143	19059262	-	196.0	122
603609at33208	Complete	OX336380.1	24608683	24615320	+	150.0	115
603673at33208	Complete	OX336370.1	1847659	1851749	-	180.9	112
604211at33208	Complete	OX336366.1	32338127	32338831	-	151.9	161
604943at33208	Complete	OX336369.1	33431492	33437225	-	163.4	112
605189at33208	Complete	OX336368.1	48766651	48767572	-	77.5	67
606048at33208	Complete	OX336365.1	53606901	53612479	-	158.7	107
606539at33208	Complete	OX336373.1	61798125	61809900	+	156.9	109
606748at33208	Complete	OX336383.1	3996122	4006929	-	139.2	84
606776at33208	Complete	OX336373.1	21064227	21064703	+	64.3	99
606795at33208	Complete	OX336377.1	22680795	22688577	-	140.1	99
606958at33208	Complete	OX336380.1	27053536	27057190	+	143.2	86
607862at33208	Complete	OX336369.1	21988439	21998775	-	150.7	109
608011at33208	Complete	OX336380.1	34393608	34419491	+	143.5	73
608074at33208	Complete	OX336368.1	52196905	52203230	-	181.2	124
608190at33208	Complete	OX336365.1	22465114	22473639	-	82.8	85
608669at33208	Complete	OX336380.1	29159899	29171121	+	203.3	219
608869at33208	Complete	OX336365.1	63386243	63396087	-	130.3	105
608924at33208	Complete	OX336377.1	31210578	31217109	-	175.1	118
609899at33208	Complete	OX336378.1	23666668	23670168	+	114.5	151
610427at33208	Complete	OX336380.1	4465025	4474591	-	125.8	96
610541at33208	Fragmented	OX336372.1	33824941	33828182	-	103.8	91
611258at33208	Complete	OX336368.1	71434562	71463711	+	158.3	155
611279at33208	Complete	OX336368.1	62858158	62872340	-	151.0	148
611373at33208	Complete	OX336382.1	33787020	33789230	-	124.2	93
611891at33208	Complete	OX336366.1	19846292	19852230	-	63.7	74
612760at33208	Complete	OX336365.1	4893611	4897579	-	120.3	81
612825at33208	Complete	OX336366.1	70097776	70112822	+	148.4	149
613522at33208	Complete	OX336371.1	30551882	30571123	-	146.9	159
613580at33208	Fragmented	OX336370.1	60586460	60686163	-	144.6	111
613851at33208	Complete	OX336380.1	14376820	14380495	-	82.3	82
614305at33208	Complete	OX336366.1	7462325	7466859	-	116.3	136
615531at33208	Complete	OX336373.1	38581995	38588850	+	111.1	75
615585at33208	Complete	OX336370.1	722418	726101	-	106.9	83
615840at33208	Missing
616120at33208	Complete	OX336380.1	40681225	40690676	-	114.0	86
616149at33208	Complete	OX336371.1	8978336	8982997	-	96.5	72
616613at33208	Complete	OX336373.1	36962698	36970311	-	132.0	78
616716at33208	Fragmented	OX336367.1	34483591	34491752	+	109.3	76
617020at33208	Complete	OX336377.1	48537593	48565188	+	222.3	172
617441at33208	Complete	OX336366.1	56465009	56470371	+	163.4	80
617522at33208	Complete	OX336374.1	20411455	20418227	-	126.5	103
617667at33208	Complete	OX336371.1	57323921	57329374	-	122.0	76
618339at33208	Complete	OX336383.1	17214151	17226440	+	143.9	83
618421at33208	Complete	OX336366.1	46669319	46669702	+	106.2	96
618516at33208	Complete	OX336373.1	19668069	19675865	+	148.2	150
618986at33208	Complete	OX336372.1	23944083	23959941	-	107.8	111
619250at33208	Complete	OX336366.1	25149363	25152971	+	86.1	108
619326at33208	Complete	OX336376.1	46184469	46186776	+	147.4	88
619415at33208	Complete	OX336376.1	8391809	8406427	+	153.1	151
620546at33208	Complete	OX336376.1	24130015	24134918	-	135.5	130
620753at33208	Complete	OX336373.1	50720205	50724755	-	136.6	114
621585at33208	Fragmented	OX336370.1	32844573	32861979	-	57.1	52
621808at33208	Complete	OX336371.1	7457837	7463634	+	160.3	81
622156at33208	Complete	OX336367.1	49845387	49856230	-	163.9	127
622172at33208	Complete	OX336369.1	42281837	42299512	-	107.1	119
622270at33208	Complete	OX336379.1	22553401	22554364	+	174.5	88
622461at33208	Complete	OX336372.1	16494951	16497091	-	138.6	101
622560at33208	Complete	OX336368.1	22970845	22980706	+	192.6	119
623138at33208	Missing
623324at33208	Complete	OX336370.1	3173400	3190458	-	205.6	117
623444at33208	Complete	OX336375.1	2560494	2563809	+	198.8	152
623995at33208	Complete	OX336366.1	56440951	56445840	+	115.8	67
625077at33208	Complete	OX336378.1	22693136	22696888	+	57.0	78
625091at33208	Complete	OX336382.1	9956529	9958807	-	76.8	75
625769at33208	Complete	OX336368.1	28844400	28850321	-	142.5	98
628082at33208	Complete	OX336379.1	34238758	34263108	+	96.8	69
628231at33208	Fragmented	OX336365.1	17463002	17495314	+	60.9	55
628247at33208	Complete	OX336373.1	47717102	47730202	+	114.9	85
629763at33208	Complete	OX336374.1	12727677	12739812	-	111.8	64
630073at33208	Complete	OX336369.1	43777738	43784485	-	120.4	58
631107at33208	Complete	OX336368.1	20799559	20800577	-	152.4	106
631173at33208	Complete	OX336383.1	21761711	21766774	-	106.4	84
631196at33208	Complete	OX336370.1	23772252	23779129	+	153.3	159
631662at33208	Complete	OX336370.1	18323296	18331434	+	123.0	77
631767at33208	Complete	OX336373.1	36635631	36641571	-	154.5	100
631798at33208	Complete	OX336368.1	31960196	31970622	+	119.2	115
631811at33208	Missing
632234at33208	Complete	OX336369.1	50638871	50642827	+	180.6	96
632472at33208	Complete	OX336367.1	40682427	40682843	-	107.6	88
632566at33208	Complete	OX336369.1	53297870	53307184	+	209.1	149
633007at33208	Complete	OX336383.1	21210067	21218859	-	199.0	131
633282at33208	Complete	OX336367.1	36619721	36626506	+	60.8	75
633619at33208	Complete	OX336374.1	25896736	25902311	+	80.3	43
634446at33208	Complete	OX336377.1	53882639	53888458	-	132.3	79
634447at33208	Complete	OX336373.1	55723224	55726948	+	146.5	85
636041at33208	Complete	OX336366.1	57196783	57203222	-	97.7	78
636070at33208	Complete	OX336365.1	55700751	55702136	-	68.4	96
636300at33208	Complete	OX336368.1	9870378	9881193	-	158.1	73
636423at33208	Complete	OX336372.1	38745517	38750271	+	62.5	92
637971at33208	Fragmented	OX336376.1	13787705	13794310	+	73.6	62
638541at33208	Complete	OX336377.1	22388074	22394763	+	103.5	75
639252at33208	Complete	OX336368.1	17366884	17371241	-	107.6	104
640187at33208	Complete	OX336370.1	17859377	17872353	+	262.6	235
640349at33208	Complete	OX336371.1	48953333	48958244	-	70.1	72
641073at33208	Missing
641257at33208	Complete	OX336368.1	48116789	48129249	+	100.3	113
642323at33208	Complete	OX336370.1	39515360	39515626	-	78.5	68
642552at33208	Fragmented	OX336366.1	59723771	59725275	+	88.4	77
642773at33208	Complete	OX336381.1	15994073	16001597	-	53.1	59
643380at33208	Complete	OX336370.1	28306777	28312771	+	111.0	83
643883at33208	Complete	OX336367.1	17200932	17207085	+	58.4	88
643954at33208	Missing
644034at33208	Complete	OX336374.1	48948538	48952509	+	69.9	41
648300at33208	Fragmented	OX336382.1	32591869	32597787	-	59.3	85
649979at33208	Complete	OX336373.1	62850431	62863475	+	107.1	98
